"KB_ID","Title","Issue_Title","System","Category","Keywords","Approved_Answer","Required_Information","Followup_Question","Action_Type","Escalation_Rule","Owner","Review_Status","Is_Active"
"KB-056","KB-056","งาน พ.ร.บ. ชำระเงินวันนี้ แต่วันที่ในระบบเป็นวันอื่น","DSS","Payment & Credit","DSS, Payment & Credit, งาน พ.ร.บ. ชำระเงินวันนี้ แต่วันที่เป็นวันอื่น, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “งาน พ.ร.บ. ชำระเงินวันนี้ แต่วันที่ในระบบเป็นวันอื่น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-057","KB-057","ข้อมูล PCS ที่ Ref ไม่ Stamp","PCS","Policy Issue & Integration","PCS, Policy Issue & Integration, ข้อมูล PCS ที่ Ref ไม่ Stamp, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ข้อมูล PCS ที่ Ref ไม่ Stamp” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-058","KB-058","ซื้อ พ.ร.บ. ออนไลน์แล้วระบบไม่แสดง QR Code","CMI Online","General Support","CMI Online, General Support, ซื้อ พ.ร.บ. ออนไลน์แล้วไม่แสดง QR Code, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ซื้อ พ.ร.บ. ออนไลน์แล้วระบบไม่แสดง QR Code” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-059","KB-059","ขอเพิ่มรุ่นรถไฟฟ้า","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นรถไฟฟ้า, ฝ่ายรับประกันภัยรถยนต์","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-060","KB-060","ระบบ PR แล้ว แต่ไม่สามารถดึงต่ออายุได้","RenewalMotor","Renewal","RenewalMotor, Renewal, PR แล้ว แต่ไม่สามารถดึงต่ออายุได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ PR แล้ว แต่ไม่สามารถดึงต่ออายุได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-061","KB-061","ระบบ DSS ไม่ Import Text File Counter Service Offline","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, DSS ไม่ Import Text File Counter Service Offline, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS ไม่ Import Text File Counter Service Offline” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-062","KB-062","ไม่สามารถสั่งพิมพ์กรมธรรม์ในระบบ DSS ได้","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, ไม่สามารถสั่งพิมพ์กรมธรรม์ DSS ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถสั่งพิมพ์กรมธรรม์ในระบบ DSS ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-063","KB-063","Issue ไม่สำเร็จ","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, Issue ไม่สำเร็จ, IT Helpdesk","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-064","KB-064","ใบคำขอติดสถานะหย่อน Polisy400 ไม่สำเร็จ","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, ใบคำขอติดสถานะหย่อน Polisy400 ไม่สำเร็จ, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ใบคำขอติดสถานะหย่อน Polisy400 ไม่สำเร็จ” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Incident","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-065","KB-065","ตัดกรมธรรม์สำเร็จและใบรับเงินออกแล้ว แต่สถานะข้อมูลไม่สอดคล้อง","DSS","General Support","DSS, General Support, ตัดกรมธรรม์สำเร็จและใบรับเงินออกแล้ว แต่สถานะข้อมูลไม่สอดคล้อง, IT Helpdesk","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-066","KB-066","Issue พ.ร.บ. และออกใบรับเงินอัตโนมัติแล้ว แต่ดึงข้อมูลมาพิมพ์ไม่ได้","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, Issue พ.ร.บ. และออกใบรับเงินอัตโนมัติแล้ว แต่ดึงข้อมูลมาพิมพ์ไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “Issue พ.ร.บ. และออกใบรับเงินอัตโนมัติแล้ว แต่ดึงข้อมูลมาพิมพ์ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-067","KB-067","ไม่สามารถส่งข้อมูลกลับไปแก้ไขในระบบ DSS ได้","DSS","General Support","DSS, General Support, ไม่สามารถส่งข้อมูลกลับไปแก้ไข DSS ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถส่งข้อมูลกลับไปแก้ไขในระบบ DSS ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-068","KB-068","ใบตรวจสอบไม่แสดงยี่ห้อหรือรุ่นรถยนต์","DSS","General Support","DSS, General Support, ใบตรวจสอบไม่แสดงยี่ห้อหรือรุ่นรถยนต์, IT Helpdesk","รับทราบปัญหาครับ รายการนี้ยังต้องตรวจสอบคำตอบและเส้นทางส่งต่อกับเจ้าของข้อมูลก่อน เพื่อป้องกันการให้ข้อมูลผิด กรุณาส่งข้อมูลที่ระบุ แล้วระบบจะเปิดเคสให้ทีมที่เกี่ยวข้องตรวจสอบ","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-069","KB-069","ออกกรมธรรม์สำเร็จแล้ว แต่เลขกรมธรรม์ไม่ขึ้น","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, ออกกรมธรรม์สำเร็จแล้ว แต่เลขกรมธรรม์ไม่ขึ้น, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ออกกรมธรรม์สำเร็จแล้ว แต่เลขกรมธรรม์ไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-070","KB-070","ระบบ DSS ส่ง API ไม่ผ่าน","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, DSS ส่ง API ไม่ผ่าน, IT / Infrastructure","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS ส่ง API ไม่ผ่าน” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / Infrastructure จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","เปิดเคสและส่งต่อ IT / Infrastructure","IT / Infrastructure","Approved","Active"
"KB-071","KB-071","งานต่ออายุเข้าระบบ DSS แล้ว แต่ตัวแทนพิมพ์กรมธรรม์ไม่ได้","DSS","Policy Issue & Integration","DSS, Policy Issue & Integration, งานต่ออายุเข้า DSS แล้ว แต่ตัวแทนพิมพ์กรมธรรม์ไม่ได้, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “งานต่ออายุเข้าระบบ DSS แล้ว แต่ตัวแทนพิมพ์กรมธรรม์ไม่ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-072","KB-072","ระบบ DSS แจ้งว่าไม่มีเงินในเครดิต","DSS","Payment & Credit","DSS, Payment & Credit, DSS แจ้งว่าไม่มีเงินในเครดิต, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบ DSS แจ้งว่าไม่มีเงินในเครดิต” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","Agent; Source; ชื่อ-นามสกุล; ยอดเครดิตที่แสดง; ภาพหน้าจอ","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; ยอดเครดิตที่แสดง; ภาพหน้าจอ","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-073","KB-073","ระบบตรวจสภาพไม่สามารถแนบรูปได้","Carcheck","System Incident","Carcheck, System Incident, ตรวจสภาพไม่สามารถแนบรูปได้, IT / SA","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ระบบตรวจสภาพไม่สามารถแนบรูปได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","กรุณาแจ้ง: ข้อความ Error; ภาพหน้าจอ; เวลาที่พบปัญหา; User/Agent/Source; ผลกระทบและจำนวนผู้ใช้งาน","Incident","เปิดเคสและส่งต่อ IT / SA","IT / SA","Approved","Active"
"KB-074","KB-074","วงเงินเครดิตเต็ม ทำให้ไม่สามารถใช้งานระบบ DSS ได้","DSS","Payment & Credit","DSS, Payment & Credit, วงเงินเครดิตเต็ม ทำให้ไม่สามารถใช้งาน DSS ได้, IT / SA","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “วงเงินเครดิตเต็ม ทำให้ไม่สามารถใช้งานระบบ DSS ได้” พร้อมแนบข้อมูลที่จำเป็น ทีม IT / SA จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","Agent; Source; ชื่อ-นามสกุล; ยอดเครดิตที่แสดง; ภาพหน้าจอ","กรุณาแจ้ง: Agent; Source; ชื่อ-นามสกุล; ยอดเครดิตที่แสดง; ภาพหน้าจอ","Incident","เปิดเคสและส่งต่อ IT / SA","IT / SA","Approved","Active"
